2021-05-22 23:00:24,885 - classify.py[line:68] - INFO: Namespace(batch_size=64, dataset='IMDB', epoch=500, gpu=1, l2=0.0001, lr=0.0001, modelfilename='', modelname='TextCNN', modelnum=0, resultnum=131, seed=1, use_aug=0)
2021-05-22 23:00:38,706 - classify.py[line:134] - INFO: {'word_embedding_dimension': 300, 'Epoch1': 5, 'Epoch2': 500, 'dropout': 0.1, 'label_num': 2, 'learning_rate1': 1e-05, 'learning_rate2': 0.0001, 'batch_size': 64, 'cuda': 1, 'negSampleNum': 3, 'poSampleNum': 1, 'max_bound': 1, 'kernel_sizes': [3, 4, 5], 'hidden_size': 256, 'hidden_layers': 1, 'bidirectional': True}
2021-05-22 23:00:39,159 - classify.py[line:140] - INFO: before training: 0.499500036239624
2021-05-22 23:00:39,159 - classify.py[line:154] - INFO: ...start training...
2021-05-22 23:10:55,215 - classify.py[line:184] - INFO: Epoch 78, toal_loss 12.6875, aver loss 0.0020, train accuracy 0.9430, train auc 0.0000, test accuracy 0.8070, test auc 0.0000
2021-05-22 23:11:04,380 - classify.py[line:184] - INFO: Epoch 79, toal_loss 13.0017, aver loss 0.0021, train accuracy 0.9452, train auc 0.0000, test accuracy 0.8170, test auc 0.0000
2021-05-22 23:11:12,023 - classify.py[line:184] - INFO: Epoch 80, toal_loss 12.8306, aver loss 0.0020, train accuracy 0.9504, train auc 0.0000, test accuracy 0.8100, test auc 0.0000
2021-05-22 23:11:21,554 - classify.py[line:184] - INFO: Epoch 81, toal_loss 12.4124, aver loss 0.0019, train accuracy 0.9523, train auc 0.0000, test accuracy 0.8045, test auc 0.0000
2021-05-22 23:11:30,015 - classify.py[line:184] - INFO: Epoch 82, toal_loss 11.9109, aver loss 0.0018, train accuracy 0.9420, train auc 0.0000, test accuracy 0.8080, test auc 0.0000
2021-05-22 23:11:37,637 - classify.py[line:184] - INFO: Epoch 83, toal_loss 12.1889, aver loss 0.0018, train accuracy 0.9482, train auc 0.0000, test accuracy 0.8160, test auc 0.0000
2021-05-22 23:11:45,265 - classify.py[line:184] - INFO: Epoch 84, toal_loss 11.6061, aver loss 0.0017, train accuracy 0.9486, train auc 0.0000, test accuracy 0.8155, test auc 0.0000
2021-05-22 23:11:53,790 - classify.py[line:184] - INFO: Epoch 85, toal_loss 11.8770, aver loss 0.0017, train accuracy 0.9490, train auc 0.0000, test accuracy 0.8120, test auc 0.0000
2021-05-22 23:12:01,294 - classify.py[line:184] - INFO: Epoch 86, toal_loss 11.8097, aver loss 0.0017, train accuracy 0.9529, train auc 0.0000, test accuracy 0.8135, test auc 0.0000
2021-05-22 23:12:08,927 - classify.py[line:184] - INFO: Epoch 87, toal_loss 11.8912, aver loss 0.0017, train accuracy 0.9539, train auc 0.0000, test accuracy 0.8140, test auc 0.0000
2021-05-22 23:12:16,539 - classify.py[line:184] - INFO: Epoch 88, toal_loss 11.5425, aver loss 0.0016, train accuracy 0.9513, train auc 0.0000, test accuracy 0.7935, test auc 0.0000
2021-05-22 23:12:24,323 - classify.py[line:184] - INFO: Epoch 89, toal_loss 11.5807, aver loss 0.0016, train accuracy 0.9525, train auc 0.0000, test accuracy 0.8090, test auc 0.0000
2021-05-22 23:12:31,780 - classify.py[line:184] - INFO: Epoch 90, toal_loss 11.4309, aver loss 0.0016, train accuracy 0.9575, train auc 0.0000, test accuracy 0.8075, test auc 0.0000
2021-05-22 23:12:39,478 - classify.py[line:184] - INFO: Epoch 91, toal_loss 11.2957, aver loss 0.0016, train accuracy 0.9575, train auc 0.0000, test accuracy 0.8040, test auc 0.0000
2021-05-22 23:12:47,034 - classify.py[line:184] - INFO: Epoch 92, toal_loss 10.9630, aver loss 0.0015, train accuracy 0.9583, train auc 0.0000, test accuracy 0.8095, test auc 0.0000
